"term_en","entry_en","term_el","entry_el","quote","citation"
"Data_mining","Data mining is an interdisciplinary subfield of computer science. It is the computational process of discovering patterns in large data sets involving methods at the intersection of artificial intelligence, machine learning, statistics, and database systems. The overall goal of the data mining process is to extract information from a data set and transform it into an understandable structure for further use. Aside from the raw analysis step, it involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexityconsiderations, post-processing of discovered structures, visualization, and online updating. Data mining is the analysis step of the “knowledge discovery in databases” process, or KDD.","Εξόρυξη_δεδομένων","Εξόρυξη δεδομένων (ή ανακάλυψη γνώσης από βάσεις δεδομένων) είναι η εξεύρεση μιας (ενδιαφέρουσας, αυτονόητης, μη προφανούς και πιθανόν χρήσιμης) πληροφορίας ή προτύπων από μεγάλες βάσεις δεδομένων με χρήση αλγορίθμων ομαδοποίησης ή κατηγοριοποίησης και των αρχών της στατιστικής, της τεχνητής νοημοσύνης, της μηχανικής μάθησης και των συστημάτων βάσεων δεδομένων. Στόχος της εξόρυξης δεδομένων είναι η πληροφορία που θα εξαχθεί και τα πρότυπα που θα προκύψουν να έχουν δομή κατανοητή προς τον άνθρωπο έτσι ώστε να τον βοηθήσουν να πάρει τις κατάλληλες αποφάσεις.","Information can tell us everything. It has all the answers. But they are answers to questions we have not asked, and which doubtless don’t even arise.","Jean Baudrillard, Cool Memories"
"Actor–network_theory","Actor–network theory (ANT) is an approach to social theory and research, originating in the field of science studies, which treats objects as part of social networks. Although it is best known for its controversial insistence on the capacity of nonhumans to act or participate in systems or networks or both, ANT is also associated with forceful critiques of conventional and critical sociology. Developed by science and technology studies (STS) scholars Michel Callon and Bruno Latour, the sociologist John Law, and others, it can more technically be described as a “material-semiotic” method. This means that it maps relations that are simultaneously material (between things) and semiotic (between concepts). It assumes that many relations are both material and semiotic.","Θεωρία_Δράστη–Δικτύου","","Technology is Society Made Durable","Bruno Latour"
"Cybernetics","Cybernetics is a transdisciplinary approach for exploring regulatory systems – their structures, constraints, and possibilities. Norbert Wiener defined cybernetics in 1948 as “the scientific study of control and communication in the animal and the machine.” In the 21st century, the term is often used in a rather loose way to imply “control of any system using technology.”","Επιστήμη_συστημάτων","Η επιστήμη συστημάτων ή συστημική είναι ένα διεπιστημονικό γνωστικό πεδίο το οποίο παρέχει έναν κοινό τρόπο σκέψης με στόχο την ανάπτυξη μεθοδολογικών πλαισίων για τη μελέτη συστημάτων με εσωτερική δομή (π.χ. κοινωνικά, ηλεκτρονικά, βιολογικά, γνωσιακά ή μεταφυσικά συστήματα). Βασίζεται στη θεωρία συστημάτων, κεντρικές έννοιες στην οποία είναι η θερμοδυναμική ισορροπία και η αρνητική ή θετική εντροπία, καθώς η δομή και η κατάσταση ενός συστήματος τυπικά παραμένουν σταθερές ή διαρκώς περιπλέκονται με το πέρασμα του χρόνου, με παράλληλη εξαγωγή θετικής εντροπίας στο περιβάλλον του συστήματος.","Cybernetics is the study of systems and processes that interact with themselves and produce themselves from themselves.","Louis Kauffman, Cognitive Informatics and Wisdom Development"
"Posthumanism","Posthumanism or post-humanism (meaning “after humanism” or “beyond humanism”) is a term with at least seven definitions according to philosopher Francesca Ferrando: Antihumanism: any theory that is critical of traditional humanism and traditional ideas about humanity and the human condition.Cultural posthumanism: a branch of cultural theory critical of the foundational assumptions of humanism and its legacy that examines and questions the historical notions of “human” and “human nature”, often challenging typical notions of human subjectivity and embodiment and strives to move beyond archaic concepts of “human nature” to develop ones which constantly adapt to contemporary technoscientific knowledge.Philosophical posthumanism: a philosophical direction which draws on cultural posthumanism, the philosophical strand examines the ethical implications of expanding the circle of moral concern and extending subjectivities beyond the human species Posthuman condition: the deconstruction of the human condition by critical theorists.","Μετανθρωπισμός","","By the late twentieth century, our time, a mythic time, we are all chimeras, theorized and fabricated hybrids of machine and organism; in short, we are cyborgs.","Donna Harraway, Cyborg Manifesto"
"Cyberfeminism","Cyberfeminism is used to describe the philosophies of a contemporary feminist community whose interests are cyberspace, the Internet and technology. The term was coined in the early 1990s to describe the work of feminists interested in theorizing, critiquing and exploiting the Internet, cyberspace and new-media technologies in general.","Κυβερνοφεμινισμός","","Clitoris is a direct line to the matrix","VNS Matrix, Cyberfeminist manifesto"
"Cyberpunk","Cyberpunk is a subgenre of science fiction in a future setting that tends to focus on society as “high tech low life” featuring advanced technological and scientific achievements, such as information technology and cybernetics, juxtaposed with a degree of breakdown or radical change in the social order.","Κυβερνοπάνκ","Το κυβερνοπάνκ (cyberpunk) είναι ένα λογοτεχνικό ρεύμα επιστημονικής φαντασίας το οποίο εμφανίστηκε στα γραπτά ενός κύκλου Αμερικανών συγγραφέων κατά τα τέλη της δεκαετίας του 1970 και επικράτησε στον χώρο ως τα μέσα της δεκαετίας του 1980. Χαρακτηρίζεται από αναφορές στον υπόκοσμο της υψηλής τεχνολογίας του άμεσου μέλλοντος, επικεντρωμένης σε προϊόντα πληροφορικής, τηλεπικοινωνιών και γενετικής μηχανικής, σε ένα συνήθως δυστοπικό, μεταβιομηχανικό κοινωνικό σκηνικό.","Cyberspace. A consensual hallucination experienced daily by billions of legitimate operators, in every nation [...] a graphic representation of data abstracted from the banks of every computer in the human system. Unthinkable complexity. Lines of light ranged in the nonspace of the mind, clusters and constellations of data [...]","William Gibson, Neuromancer"
"Circuit_bending","Circuit bending is the creative, chance-based customization of the circuits within electronic devices such as low voltage, battery-powered guitar effects, children’s toys and digital synthesizers to create new musical or visual instruments and sound generators. Emphasizing spontaneity and randomness, the techniques of circuit bending have been commonly associated with noise music, though many more conventional contemporary musicians and musical groups have been known to experiment with “bent” instruments. Circuit bending usually involves dismantling the machine and adding components such as switches and potentiometers that alter the circuit.","Circuit_bending","","Given enough eyeballs, all bugs are shallow.","Eric S. Raymond, The Cathedral and the Bazaar: Release Early, Release Often."
"Databending","Databending (or data bending) is the process of manipulating a media file of a certain format, using software designed to edit files of another format. Distortions in the medium typically occur as a result, and the process either falls under a broader category of, or is frequently employed in glitch art.","Databending","","If you torture the data enough, nature will always confess.","Ronald Coas, How should economists choose?"
"Map–territory_relation","The map–territory relation describes the relationship between an object and a representation of that object, as in the relation between a geographical territory and a mapof it. Polish-American scientist and philosopher Alfred Korzybski remarked that “the map is not the territory”, encapsulating his view that an abstraction derived from something, or a reaction to it, is not the thing itself. Korzybski held that many people do confuse maps with territories, that is, confuse models of reality with reality itself.","","","The map is not the territory","Alfred Korzybski"
"Information_theory","Information theory studies the quantification, storage, and communication of information. It was originally proposed by Claude E. Shannon in 1948 to find fundamental limits on signal processing and communication operations such as data compression, in a landmark paper entitled “A Mathematical Theory of Communication.” Now this theory has found applications in many other areas, including statistical inference, natural language processing, cryptography, neurobiology, the evolution and function of molecular codes, model selection in ecology, thermal physics, quantum computing, linguistics, plagiarism detection, pattern recognition, and anomaly detection.","Θεωρία_πληροφορίας","Η Θεωρία πληροφορίας είναι τμήμα των εφαρμοσμένων μαθηματικών και ασχολείται με την ποσοτικοποίηση της πληροφορίας. Η θεωρία της πληροφορίας αναπτύχθηκε από τον Κλοντ Σάνον για να βρει τα θεμελιώδη όρια της επεξεργασίας σήματος σε εφαρμογές όπως η συμπίεση δεδομένων και η αξιόπιστη αποθήκευση και μεταφορά δεδομένων. Από τη θεμελίωση της έχει διευρυνθεί ώστε να βρει εφαρμογές σε πολλούς άλλους τομείς, όπως στην επαγωγική στατιστική, στην επεξεργασία φυσικής γλώσσας, στην κρυπτογραφία, στα δίκτυα εκτός των δικτύων επικοινωνίας - όπως και στη νευροβιολογία, στην εξέλιξη και τη λειτουργία μοριακών κωδικών στην οικολογία, στη θερμική φυσική, στους κβαντικούς υπολογιστές, στην ανίχνευση λογοκλοπής και σε άλλες μορφές ανάλυσης δεδομένων.","Information is a difference that makes a difference","Gregory Bateson"
